Job number, Alloy fraction, Temperature (K), Unlike bond energy (eV), Average number of unlike neighbours, Average energy (eV), Heat capacity (kB)
   1, 0.1000,   300.00, -0.10, 0.8000,       -3.99916,       236.9587
   2, 0.1000,  1000.00, -0.10, 0.8000,       -3.95896,       20.90963
   3, 0.1000,  2000.00, -0.10, 0.7600,       -3.87128,       5.004139
   4, 0.1000,   300.00,  0.00, 0.6800,              0,              0
   5, 0.1000,  1000.00,  0.00, 0.7200,              0,              0
   6, 0.1000,  2000.00,  0.00, 0.7600,              0,              0
   7, 0.1000,   300.00,  0.10, 0.4000,        2.15436,       68.87344
   8, 0.1000,  1000.00,  0.10, 0.4800,        2.38312,       7.786164
   9, 0.1000,  2000.00,  0.10, 0.5600,        3.12892,       3.305548
  10, 0.2000,   300.00, -0.10, 1.6000,       -7.99748,       947.6381
  11, 0.2000,  1000.00, -0.10, 1.5600,        -7.7958,       81.09948
  12, 0.2000,  2000.00, -0.10, 1.4800,       -7.33548,       17.98125
  13, 0.2000,   300.00,  0.00, 1.3200,              0,              0
  14, 0.2000,  1000.00,  0.00, 1.3200,              0,              0
  15, 0.2000,  2000.00,  0.00, 1.2400,              0,              0
  16, 0.2000,   300.00,  0.10, 0.7600,        3.80012,       213.9611
  17, 0.2000,  1000.00,  0.10, 0.3600,        2.59836,       9.278604
  18, 0.2000,  2000.00,  0.10, 0.9200,        5.10884,        8.79454
  19, 0.3000,   300.00, -0.10, 2.4000,      -11.99728,       2132.557
  20, 0.3000,  1000.00, -0.10, 2.2000,      -11.47552,       175.7578
  21, 0.3000,  2000.00, -0.10, 2.0000,      -10.31236,        35.5453
  22, 0.3000,   300.00,  0.00, 1.7200,              0,              0
  23, 0.3000,  1000.00,  0.00, 1.7200,              0,              0
  24, 0.3000,  2000.00,  0.00, 1.8800,              0,              0
  25, 0.3000,   300.00,  0.10, 0.7600,        3.79996,       213.9426
  26, 0.3000,  1000.00,  0.10, 0.7200,        3.16344,       13.71125
  27, 0.3000,  2000.00,  0.10, 1.2800,        6.11212,       12.64286
  28, 0.4000,   300.00, -0.10, 3.2000,      -15.99556,        3790.83
  29, 0.4000,  1000.00, -0.10, 3.0400,      -15.44556,        318.434
  30, 0.4000,  2000.00, -0.10, 2.4000,      -12.57032,       52.84649
  31, 0.4000,   300.00,  0.00, 1.8800,              0,              0
  32, 0.4000,  1000.00,  0.00, 2.0800,              0,              0
  33, 0.4000,  2000.00,  0.00, 1.9200,              0,              0
  34, 0.4000,   300.00,  0.10, 0.7600,        3.79924,       213.8594
  35, 0.4000,  1000.00,  0.10, 0.9200,        3.79052,       19.53937
  36, 0.4000,  2000.00,  0.10, 1.4800,        6.73024,       15.34798
  37, 0.5000,   300.00, -0.10, 4.0000,        -19.996,       5924.084
  38, 0.5000,  1000.00, -0.10, 4.0000,       -19.7992,       522.9121
  39, 0.5000,  2000.00, -0.10, 3.1600,      -13.48224,       60.86614
  40, 0.5000,   300.00,  0.00, 1.8000,              0,              0
  41, 0.5000,  1000.00,  0.00, 2.0000,              0,              0
  42, 0.5000,  2000.00,  0.00, 2.0400,              0,              0
  43, 0.5000,   300.00,  0.10, 0.8400,        4.56172,        311.803
  44, 0.5000,  1000.00,  0.10, 0.8000,        3.51176,       16.82399
  45, 0.5000,  2000.00,  0.10, 1.3600,        6.95268,       16.32793
